attack_uid,target_host,host,item,key,itemid,value_type,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock,first_utc,last_utc,source
D-T0809-16,mqtt-broker,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,76,1.0,1.0,1.0,1.0,1777751289,1777751664,2026-05-02T19:48:09Z,2026-05-02T19:54:24Z,history.get
D-T0809-16,mqtt-broker,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,76,0.0001,0.000172,0.0002732276916503906,0.0001659393310546875,1777751290,1777751665,2026-05-02T19:48:10Z,2026-05-02T19:54:25Z,history.get
D-T0814-16,telemetry-api,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,74,1.0,1.0,1.0,1.0,1777751300,1777751665,2026-05-02T19:48:20Z,2026-05-02T19:54:25Z,history.get
D-T0814-16,telemetry-api,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,74,0.00012183189392089844,0.000202,0.00034308433532714844,0.00014472007751464844,1777751301,1777751666,2026-05-02T19:48:21Z,2026-05-02T19:54:26Z,history.get
D-T0814-16,telemetry-api,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,74,1.0,1.0,1.0,1.0,1777751298,1777751663,2026-05-02T19:48:18Z,2026-05-02T19:54:23Z,history.get
D-T0814-16,telemetry-api,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,74,0.0001,0.000166,0.0003273487091064453,0.00012993812561035156,1777751299,1777751664,2026-05-02T19:48:19Z,2026-05-02T19:54:24Z,history.get
D-T0814-16,telemetry-api,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,75,1.0,1.0,1.0,1.0,1777751297,1777751667,2026-05-02T19:48:17Z,2026-05-02T19:54:27Z,history.get
D-T0814-16,telemetry-api,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,74,0.0001,0.000159,0.0003979206085205078,0.0001385211944580078,1777751298,1777751663,2026-05-02T19:48:18Z,2026-05-02T19:54:23Z,history.get
D-T0814-16,telemetry-api,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,74,1.0,1.0,1.0,1.0,1777751299,1777751664,2026-05-02T19:48:19Z,2026-05-02T19:54:24Z,history.get
D-T0814-16,telemetry-api,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,74,0.0001,0.000171,0.0002732276916503906,0.0001659393310546875,1777751300,1777751665,2026-05-02T19:48:20Z,2026-05-02T19:54:25Z,history.get
D-T0860-16,vulnerable-app,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,73,1.0,1.0,1.0,1.0,1777751305,1777751665,2026-05-02T19:48:25Z,2026-05-02T19:54:25Z,history.get
D-T0860-16,vulnerable-app,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,73,0.00012183189392089844,0.000202,0.00034308433532714844,0.00014472007751464844,1777751306,1777751666,2026-05-02T19:48:26Z,2026-05-02T19:54:26Z,history.get
D-T0860-16,vulnerable-app,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,72,1.0,1.0,1.0,1.0,1777751308,1777751663,2026-05-02T19:48:28Z,2026-05-02T19:54:23Z,history.get
D-T0860-16,vulnerable-app,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,73,0.0001,0.000166,0.0003273487091064453,0.00012993812561035156,1777751304,1777751664,2026-05-02T19:48:24Z,2026-05-02T19:54:24Z,history.get
D-T0860-16,vulnerable-app,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,73,1.0,1.0,1.0,1.0,1777751307,1777751667,2026-05-02T19:48:27Z,2026-05-02T19:54:27Z,history.get
D-T0860-16,vulnerable-app,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,72,0.0001,0.000156,0.0002570152282714844,0.0001385211944580078,1777751308,1777751663,2026-05-02T19:48:28Z,2026-05-02T19:54:23Z,history.get
D-T0860-16,vulnerable-app,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,73,1.0,1.0,1.0,1.0,1777751304,1777751664,2026-05-02T19:48:24Z,2026-05-02T19:54:24Z,history.get
D-T0860-16,vulnerable-app,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,73,0.0001,0.000171,0.0002732276916503906,0.0001659393310546875,1777751305,1777751665,2026-05-02T19:48:25Z,2026-05-02T19:54:25Z,history.get
D-T0809-17,mqtt-broker,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,70,1.0,1.0,1.0,1.0,1777751320,1777751665,2026-05-02T19:48:40Z,2026-05-02T19:54:25Z,history.get
D-T0809-17,mqtt-broker,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,70,0.00012183189392089844,0.000203,0.00034308433532714844,0.00014472007751464844,1777751321,1777751666,2026-05-02T19:48:41Z,2026-05-02T19:54:26Z,history.get
D-T0809-17,mqtt-broker,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,70,1.0,1.0,1.0,1.0,1777751318,1777751663,2026-05-02T19:48:38Z,2026-05-02T19:54:23Z,history.get
D-T0809-17,mqtt-broker,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,70,0.0001,0.000164,0.0003273487091064453,0.00012993812561035156,1777751319,1777751664,2026-05-02T19:48:39Z,2026-05-02T19:54:24Z,history.get
